insertion_id,license_plate,category,color,timestamp,gate,zone,description
6035859,MH15EF0399,van,white,2025-01-24 04:31:22.64+00,ganajan_car_in,50,ZONE 2 - Table
6035904,-,pedestrian,undefined,2025-01-24 04:32:14.72+00,ganajan_car_in,50,ZONE 2 - Table
6035916,-,motorcycle,undefined,2025-01-24 04:32:27.32+00,ganajan_car_in,50,ZONE 2 - Table
6035934,-,bus,red,2025-01-24 04:32:53.08+00,ganajan_car_in,50,ZONE 2 - Table
6035947,-,pedestrian,undefined,2025-01-24 04:32:44.44+00,ganajan_car_in,50,ZONE 2 - Table
6035954,H01CP3174,van,white,2025-01-24 04:32:56.24+00,ganajan_car_in,50,ZONE 2 - Table
6035958,MH30AZ2619,van,white,2025-01-24 04:33:02.8+00,ganajan_car_in,50,ZONE 2 - Table
6035968,-,car,white,2025-01-24 04:33:06.44+00,ganajan_car_in,50,ZONE 2 - Table
6035977,MH15AT4552,car,white,2025-01-24 04:33:13+00,ganajan_car_in,50,ZONE 2 - Table
6035983,MH19BI4811,car,white,2025-01-24 04:33:17.56+00,ganajan_car_in,50,ZONE 2 - Table
6036009,-,pedestrian,undefined,2025-01-24 04:34:17.4+00,ganajan_car_in,50,ZONE 2 - Table
6036015,-,pedestrian,undefined,2025-01-24 04:34:44.36+00,ganajan_car_in,50,ZONE 2 - Table
6036025,-,pedestrian,undefined,2025-01-24 04:34:50.08+00,ganajan_car_in,50,ZONE 2 - Table
6036031,-,pedestrian,undefined,2025-01-24 04:34:59.72+00,ganajan_car_in,50,ZONE 2 - Table
6036038,-,pedestrian,undefined,2025-01-24 04:34:56.48+00,ganajan_car_in,50,ZONE 2 - Table
6036042,MH37V0375,car,silver,2025-01-24 04:35:18.4+00,ganajan_car_in,50,ZONE 2 - Table
6036054,-,car,white,2025-01-24 04:35:25.16+00,ganajan_car_in,50,ZONE 2 - Table
6036066,MH27BX1541,car,white,2025-01-24 04:35:26.52+00,ganajan_car_in,50,ZONE 2 - Table
6036068,-,pedestrian,undefined,2025-01-24 04:35:35.16+00,ganajan_car_in,50,ZONE 2 - Table
6036070,-,pedestrian,undefined,2025-01-24 04:35:30.12+00,ganajan_car_in,50,ZONE 2 - Table
6036071,-,pedestrian,undefined,2025-01-24 04:35:35.56+00,ganajan_car_in,50,ZONE 2 - Table
6036082,MH32Y3386,car,white,2025-01-24 04:36:01.64+00,ganajan_car_in,50,ZONE 2 - Table
6036090,-,pedestrian,undefined,2025-01-24 04:36:09.4+00,ganajan_car_in,50,ZONE 2 - Table
6036110,MH26AK4108,car,white,2025-01-24 04:36:43.5+00,ganajan_car_in,50,ZONE 2 - Table
6036112,-,pedestrian,undefined,2025-01-24 04:36:36.48+00,ganajan_car_in,50,ZONE 2 - Table
6036117,-,pedestrian,undefined,2025-01-24 04:37:05.72+00,ganajan_car_in,50,ZONE 2 - Table
6036122,MH20FG0219,car,white,2025-01-24 04:36:51.28+00,ganajan_car_in,50,ZONE 2 - Table
6036130,MH27BE8008,car,white,2025-01-24 04:36:55.28+00,ganajan_car_in,50,ZONE 2 - Table
6036132,-,pedestrian,undefined,2025-01-24 04:36:56.52+00,ganajan_car_in,50,ZONE 2 - Table
6036144,MH28BK9661,car,white,2025-01-24 04:37:39.64+00,ganajan_car_in,50,ZONE 2 - Table
6036155,-,pedestrian,undefined,2025-01-24 04:37:36.48+00,ganajan_car_in,50,ZONE 2 - Table
6036156,-,pedestrian,undefined,2025-01-24 04:37:36.96+00,ganajan_car_in,50,ZONE 2 - Table
6036161,-,pedestrian,undefined,2025-01-24 04:37:40.56+00,ganajan_car_in,50,ZONE 2 - Table
6036166,-,pedestrian,undefined,2025-01-24 04:37:49.88+00,ganajan_car_in,50,ZONE 2 - Table
6036169,-,pedestrian,undefined,2025-01-24 04:38:03.52+00,ganajan_car_in,50,ZONE 2 - Table
6036185,-,motorcycle,yellow,2025-01-24 04:38:26.28+00,ganajan_car_in,50,ZONE 2 - Table
